Title,Naverlink,Script,Date
<b>대선</b> 우편물 특별소통' 돌입...5270만통 접수 예상,https://n.news.naver.com/mnews/article/092/0002373201?sid=105,내달 3일 실시되는 제<b>21대</b> 대통령 선거를 앞두고 전국 우체국이 선거우편물의 신속 정확한 소통을 위해... 조해근 우정사업본부장은 “제<b>21대</b> 대통령선거 우편물을 안전하고 정확하게 처리하기 위해 만반의 준비를 다하고...,"Tue, 06 May 2025 11:42:00 +0900"
한덕수 &quot;한 번도 단일화 실패할 거라 생각해 본 적 없어&quot;,https://n.news.naver.com/mnews/article/586/0000102726?sid=100,한 후보는 지난 3일 발표한 출마 선언문에서도 분권형 개헌을 통해 <b>21대</b> 대통령의 임기를 약 3년으로 단축해 2028년 22대 <b>대선</b>과 23대 총선을 동시 시행한 후 대통령직을 사임하겠다고 밝힌 바 있다.,"Tue, 06 May 2025 11:42:00 +0900"
[ZD브리핑] SKT 위약금 면제 공방...제<b>21대 대선</b> 후보 등록 마감,https://n.news.naver.com/mnews/article/092/0002373200?sid=105,"6.3 <b>대선</b> 후보 등록 마감 6.3 대통령 선거 후보자 등록 최종 마감일이 11일 오후 6시로 임박했습니다.... 주목할 부분은 국민의힘 <b>대선</b> 후보 등록입니다. 김문수 전 고용노동부 장관이 당 <b>대선</b> 후보로 최종 결정됐는데, <b>대선</b>...","Tue, 06 May 2025 11:40:00 +0900"
한덕수 “단일화 실패는 국민에 대한 큰 배신…반드시 될 것”,https://n.news.naver.com/mnews/article/020/0003633079?sid=154,그는 <b>대선</b> 출마 선언을 하면서 <b>21대</b> 대통령의 임기를 3년으로 단축해 2028년 22대 <b>대선</b>과 23대 총선을 동시 시행한 후 대통령직을 사임하겠다고 밝힌 바 있다. 한 전 총리는 “대화와 설득의 과정은 찾아볼 수 없고 이기기...,"Tue, 06 May 2025 11:33:00 +0900"
김문수 앞에 놓인 ‘이준석·김기현·한동훈’의 길[송종호의 여쏙야쏙...,https://n.news.naver.com/mnews/article/011/0004481836?sid=100,"국민의힘 <b>대선</b>후보로 김문수 후보가 3일 확정됐습니다. 앞서 &lt;한동훈이 최종 후보 될라…국힘, 한덕수로... 다른 한편 중앙선거관리위원회에 <b>대선</b> 후보 등록을 위해 무소속 한덕수 후보는 자기돈 3억 원을 납부해야 합니다....","Tue, 06 May 2025 11:31:00 +0900"
김문수 “당이 나를 인정 안해…전당대회 개최 이유 밝혀라”,https://n.news.naver.com/mnews/article/018/0006006248?sid=100,"김문수 국민의힘 <b>대선</b> 후보가 6일 “당은 후보에 대한 적극적인 지원을 약속했지만, 현재까지도 후보를... 국민의힘은 전날 밤 비상대책위원회를 열어 제<b>21대</b> 대통령 선거 중앙선거대책위원회(중앙선대위)와 시...","Tue, 06 May 2025 11:12:00 +0900"
[속보] 한덕수 &quot;단일화 실패 국민 배신…개헌 성공시켜 대한민국 통합&quot;,https://n.news.naver.com/mnews/article/654/0000119551?sid=100,한 후보는 지난 3일 발표한 출마 선언문에서도 분권형 개헌을 통해 <b>21대</b> 대통령의 임기를 약 3년으로 단축해 2028년 22대 <b>대선</b>과 23대 총선을 동시에 시행한 뒤 대통령직을 사임하겠다고 밝혔다. 통상 문제와 관련해서는 &quot;한미...,"Tue, 06 May 2025 11:11:00 +0900"
"박범계 &quot;조희대 대법원장, <b>대선</b> 관여 기획자…탄핵사유에 해당&quot;",https://n.news.naver.com/mnews/article/008/0005189947?sid=100,박 단장은 &quot;5월12일부터 본격적인 대한민국의 제<b>21대</b> 대통령을 뽑기 위한 <b>대선</b> 운동이 시작되는데 이는 유권자의 시간&quot;이라며 &quot;유권자의 올바른 선택권이 보장돼야 한다&quot;고 했다. 이어 &quot;유권자의 올바른 선택권은 유권자의...,"Tue, 06 May 2025 11:01:00 +0900"
벌어진 예대금리차…<b>대선</b>주자 '민생' 강조에 숨죽인 은행들,https://n.news.naver.com/mnews/article/648/0000035887?sid=101,오는 6월 3일 제<b>21대 대선</b>을 앞둔 정치권에서도 이 부분을 눈여겨볼 전망이다. 민생 경제를 키워드로 잡고 대출금리를 낮춰 차주 부담을 줄이는 방안이 유력하다. 더불어민주당은 '은행법 개정안'을 국회 신속처리 안건...,"Tue, 06 May 2025 11:00:00 +0900"
"윤석열이 2번 거부한 노란봉투법, 이재명은 “합니다”",https://n.news.naver.com/mnews/article/021/0002707538?sid=154,"이재명 더불어민주당 <b>대선</b> 후보와 김동명 한국노총 위원장이 1일 서울 중구 한국프레스센터에서 열린 정책... 노란봉투법은 <b>21대</b> 국회와 22대 국회에서 두 차례 본회의 문턱을 넘었지만, 윤석열 전 대통령의 재의요구권...","Tue, 06 May 2025 10:59:00 +0900"
<b>대선</b> 후보 현장 라이브 05.06,https://n.news.naver.com/mnews/article/025/0003438897?sid=154,<b>21대</b> 대통령의 임기는 2025년 6월 4일부터 2030년 6월 3일까지다. 선거일까지 유력 후보들의 하루 일정을 사진으로 소개한다. ■ 2025.05.06 오후 1:00 한덕수 후보 이낙연 전 총리와 오찬 회동 한덕수 <b>대선</b> 예비 후보가...,"Tue, 06 May 2025 10:57:00 +0900"
"한덕수, 이재명 정조준 &quot;줄탄핵·25만원 퍼주기로 국민행복 이룬 나라 없...",https://n.news.naver.com/mnews/article/586/0000102722?sid=102,한 후보는 지난 3일 발표한 출마 선언문에서도 분권형 개헌을 통해 <b>21대</b> 대통령의 임기를 약 3년으로 단축해 2028년 22대 <b>대선</b>과 23대 총선을 동시 시행한 후 대통령직을 사임하겠다고 밝혔다. 한 후보는 통상문제 해결에...,"Tue, 06 May 2025 10:56:00 +0900"
"“이 커플, 어디서 본 듯했는데” 아무도 몰랐다…‘눈을 의심’ 이 정...",https://n.news.naver.com/mnews/article/016/0002467075?sid=105,"<b>21대</b> 대통령 선거가 40대 미만 유권자보다 60대 이상 유권자가 더 많은 인구 구조에서 치러지는 첫 <b>대선</b>임을 상기하면, 상당히 우려스러운 부분이다. 자칫 딥페이크발 가짜 뉴스가 여론을 호도할지도 모른다는...","Tue, 06 May 2025 10:53:00 +0900"
한덕수 &quot;단일화 실패는 국민에 대한 큰 배신…김문수가 잘 판단하리라 ...,https://n.news.naver.com/mnews/article/087/0001114690?sid=100,한 후보는 지난 3일 발표한 출마 선언문에서도 분권형 개헌을 통해 <b>21대</b> 대통령의 임기를 약 3년으로 단축해 2028년 22대 <b>대선</b>과 23대 총선을 동시 시행한 후 대통령직을 사임하겠다고 밝힌바 있다. 통상문제 해결에 대해서는...,"Tue, 06 May 2025 10:50:00 +0900"
한덕수 &quot;대한민국 개헌으로 재통합…성공 즉시 직 내려놓을 것&quot;,https://n.news.naver.com/mnews/article/437/0000439721?sid=100,한 후보는 지난 3일 발표한 출마 선언문에서도 분권형 개헌을 통해 <b>21대</b> 대통령의 임기를 약 3년으로 단축해 2028년 22대 <b>대선</b>과 23대 총선을 동시 시행한 후 대통령직을 사임하겠다고 밝힌 바 있습니다. 한 후보는 통상문제...,"Tue, 06 May 2025 10:49:00 +0900"
"김재원 “국힘 지도부, 김문수 <b>대선</b>후보로 안 봐… 끌어내리려 해”",https://n.news.naver.com/mnews/article/022/0004033166?sid=100,"국민의힘 <b>대선</b> 후보 측은 6일 “국민의힘 지도부가 김 후보의 당무 우선권이나 대통령 후보자로서의 법적 지위, 당헌·당규상의 지위를 인정하지 않고 있다”고 비판했다. 제<b>21대</b> 대통령 선거 출마를 선언한 김문수(왼쪽) 전...","Tue, 06 May 2025 10:44:00 +0900"
한덕수 &quot;단일화 반드시 이뤄질 것…개혁 위해 누구도 배제 안 해&quot;,https://n.news.naver.com/mnews/article/011/0004481814?sid=100,<b>대선</b> 출마를 선언하고 김문수 국민의힘 후보와 단일화를 추진하고 있는 한덕수 예비후보가 “단일화는... 한 후보는 6일 서울 중구 코리아나호텔에서 열린 제<b>21대</b> 대통령선거 예비후보 초청 관훈토론회에 참석해 “한 번도...,"Tue, 06 May 2025 10:42:00 +0900"
인사하는 한덕수 <b>대선</b> 예비 후보 [포토],https://n.news.naver.com/mnews/article/629/0000387467?sid=100,무소속 한덕수 <b>대선</b> 예비 후보가 6일 오전 서울 중구 코리아나호텔에서 열린 제<b>21대</b> 대통령선거 예비후보 초청 관훈토론회에 참석해 인사를 하고 있다. 사진영상기획부,"Tue, 06 May 2025 10:41:00 +0900"
"한덕수 &quot;아내 무속 전문가라는 박지원 주장, 새빨간 거짓말&quot;",https://n.news.naver.com/mnews/article/025/0003438896?sid=100,한 후보는 지난 3일 발표한 출마 선언문에서도 분권형 개헌을 통해 <b>21대</b> 대통령의 임기를 약 3년으로 단축해 2028년 22대 <b>대선</b>과 23대 총선을 동시 시행한 후 대통령직을 사임하겠다고 밝힌 바 있다. 한 후보는 통상문제...,"Tue, 06 May 2025 10:40:00 +0900"
