video_id,video_title,channel,views,video_likes,comment,comment_likes,reply_1,reply_1_likes
CKPdKdZnK6Q,대선 막판 ‘뇌관’ 터진 김건희 주가조작 의혹 [#논썰｜EP.72],한겨레TV,39377,2371,정말 많은 분들이 봐야할 영상입니다. 한겨레 TV 정말 훌륭합니다.,25,,
CKPdKdZnK6Q,대선 막판 ‘뇌관’ 터진 김건희 주가조작 의혹 [#논썰｜EP.72],한겨레TV,39377,2371,"잘정리하셨네요
그냥 부부가  비리와 범법의
연속이었다는것이 보이네요
갈곳은 한곳뿐인듯~~",24,,
2i7bu01HD_E,윤 후보에 분노한 문 대통령을 비꼰 이 대표에 일침 날린 김작자 #short #공덕포차 (자세한 내용은 본방송! ),한겨레TV,1027452,14275,본편 영상 시청 바로가기 > https://youtu.be/Twhubgx6ObM,22,사람들이 본질을 잘 모르네.... 그리 참을성 높으신 문대통령님께서 화가 나신것은 이 정부 검찰에서 4년간 윤썩을열이 절대권력을 휘둘렀으면서 이 정부에 잘못과 비리가 있는것 처럼 한것 때문입니다.  그냥 야권 출신 후보가 그런거라면 그러려니 하겠지만 윤가 지가 이런 소리를 하는게 어이가 없는거죠.,2
2i7bu01HD_E,윤 후보에 분노한 문 대통령을 비꼰 이 대표에 일침 날린 김작자 #short #공덕포차 (자세한 내용은 본방송! ),한겨레TV,1027452,14275,"꼭 현장범죄가 아니더라도, 의심되면 일단 수사는 해야 하는 거 아닌가?",5,,
2i7bu01HD_E,윤 후보에 분노한 문 대통령을 비꼰 이 대표에 일침 날린 김작자 #short #공덕포차 (자세한 내용은 본방송! ),한겨레TV,1027452,14275,"화낼사람이 누구냐?
화낼 자격있나?
적반하장도 유분수지~~
적폐수사 빨리해라.",3,,
CRdi8HsgtvI,‘후보 교체론’까지 자초한 윤석열의 ‘3대 자질 리스크’ [#논썰｜EP.66],한겨레TV,377202,16517,"이러던 사람이 대통령이 되다니?????
참 세상 알수없는 일이다~ㅜㅜㅜ
깜이 분명히 안되는 사람인데,
국민들이 다 뭐에 씌였는것 같다.~
똑똑한 사람을 놔 두고
이해 안되는 사람을 뽑다니~
서울 부자동네 사람들의
이기심이 만들어 낸 작품이 아닌가???
그 고통이 다 우리 후손에게로 돌아갈 것이다.~~",1,,
CRdi8HsgtvI,‘후보 교체론’까지 자초한 윤석열의 ‘3대 자질 리스크’ [#논썰｜EP.66],한겨레TV,377202,16517,ㅠㅠ 윤짜장 들어가라 창피하다..,1,,
CRdi8HsgtvI,‘후보 교체론’까지 자초한 윤석열의 ‘3대 자질 리스크’ [#논썰｜EP.66],한겨레TV,377202,16517,"윤석열한테 팽당한 추호 김종인의 한탄대로 우리나라의 국운이 다한게 아니라,
대통령선거 앞두고 후보본인과 가족에 대한 기본검증과정 시작부터
불공정과 몰상식, 내로남불, 정치외교참사 정체를 미리 확인하고 필터링할수 있게 됐으니,
민주공화국의 국운과 역사는 계속 전진할 수 있다라고 봐야겠네요.",1,,
e2fMpa0G0Ao,급조된 후보 윤석열의 예고된 실책 [공덕포차 시즌2 ep.09],한겨레TV,57647,1576,진중권씨 역시..... 한겨레 포차 굿바이. 다양한 의견은 좋지만 맥락도 없고 본인만 객관적이고 옳다는 애기 같아요~ 다음에 다시 봐요~,16,,
e2fMpa0G0Ao,급조된 후보 윤석열의 예고된 실책 [공덕포차 시즌2 ep.09],한겨레TV,57647,1576,"여기  토론자중   이재명  반이라도  서민을 위해 한것이  무엇이 있나?
지켜본봐론   이재명만큼  서민편에서  
고민하고  용기있게  나서는사람  본적없다 .
그래서  이재명이  이끌고  만들어갈 나라가  기대되고  흥분된다",6,,
e2fMpa0G0Ao,급조된 후보 윤석열의 예고된 실책 [공덕포차 시즌2 ep.09],한겨레TV,57647,1576,"진중권씨가    잘났으면
왜  윤 캠프에서  안부르실까요?
ㅎ",6,,
7HtwAgNFQ9A,‘쩐의 전쟁’으로 치닫는 이재명-윤석열의 ‘공약 대결’ [#논썰｜EP.58],한겨레TV,6388,227,언론부터 바른 양심으로 돌아가라! 한다면 한다.,6,,
7HtwAgNFQ9A,‘쩐의 전쟁’으로 치닫는 이재명-윤석열의 ‘공약 대결’ [#논썰｜EP.58],한겨레TV,6388,227,한겨레  조중동 과  같이 적폐아니신가요? 아니면 싸우세요,6,,
7HtwAgNFQ9A,‘쩐의 전쟁’으로 치닫는 이재명-윤석열의 ‘공약 대결’ [#논썰｜EP.58],한겨레TV,6388,227,"저는 지역 화폐는 지역 경제 활성화에 큰 도움이 된다고 생각합니다.
돈을 빌려서 뿌리자는 윤석열의 공약과 이재명 후보의 전국민 지원 공약은 전혀 다른것 같은데 왜 언론은 이렇게 양비론으로 이후보의 좋은 공약을 운후보의 수준으로 내모는지 모르겠습니다.",5,,
MLZXcTIVGyU,인물론 VS 정권교체론...초박빙 판세 가를 승부수는? [공덕포차 시즌3 ep.21],한겨레TV,46691,1728,부모님 설득했습니다 윤석렬 되면 중국하고 사이 안좋아져서 회사 망한다고 했더니 이재명 찍는다고 했습니다  윤석렬한테 갈 한두표 못가게 막았습니다,52,최고세요!!!!완전 최고!!!!,6
