url,댓글 수,댓글
https://n.news.naver.com/mnews/article/119/0002580532?sid=100,20,윤후보는 잘못된 적폐를 수사한다 했지 정치보복이란 얘긴 안했다. 민주당이나 이후보가 정치보복 프레임을 씌우더니 너희 본심이 결국 뒷통수치듯 보복하는거구나. 어쩜 말들이 이리 무섭나
https://n.news.naver.com/mnews/article/119/0002580532?sid=100,20,
https://n.news.naver.com/mnews/article/119/0002580532?sid=100,20,"정치보복 안 하겠다는 말도 아니고, 몰래 숨어서 하겠다는 말은 교활하고 음흉한 이재명이의 본모습을 그대로 나타낸 말이군."
https://n.news.naver.com/mnews/article/119/0002580532?sid=100,20,윤후보는정치보복이란말을 꺼내지도않았다.현정권에 적폐있으면 수사할거냐는기자질문에 있으면 해야죠했던거지. 구린놈이제발저리고 성낸거지 그걸정치보복이라고ㅣ해석하고 발끈하며  언급한쪽은 이재명과민주당이다.이재명의숨기고있던 발톱을 드려낸거지.
https://n.news.naver.com/mnews/article/119/0002580532?sid=100,20,"이날까지 남모르게 한결같이 복수해옴. 자신의 친형님을 정신병자마냥 협박하여 진짜 극도의 스트레스로 죽음에 이르게하고, 옛연인을 마약범으로 몰아붙인다고 협박하고, 김사랑기자를 정신병자가 날뛴다며 강제입원시켜 협박하고, 뭐든 자신의 길에 장애물이되면 죽이려 들고 자신한테 아부하면 부정한일도 팍팍밀어주며 자신을 위해 사는 인간.. 정말 정신병이 너무 심각한 인간.."
https://n.news.naver.com/mnews/article/119/0002580532?sid=100,20,
https://n.news.naver.com/mnews/article/119/0002580532?sid=100,20,
https://n.news.naver.com/mnews/article/119/0002580532?sid=100,20,
https://n.news.naver.com/mnews/article/119/0002580532?sid=100,20,
https://n.news.naver.com/mnews/article/119/0002580532?sid=100,20,
https://n.news.naver.com/mnews/article/119/0002580532?sid=100,20,정치보복은 남 몰래하는거라는 이재명~ 이런 놈이 대통 후보?
https://n.news.naver.com/mnews/article/119/0002580532?sid=100,20,친문들이 이재명 막아야 될껄!  윤석열은 그래도 법대로 하겠지만 재명이는 무자비하게 숙청할 것임.
https://n.news.naver.com/mnews/article/119/0002580532?sid=100,20,"윤석열 어록: ""내 사전에 정치보복은 없다. 그러나 사회 질서를 무너뜨리는 중대 범죄 행위자는 누구든 수사해서 법적 처벌을 받게 한다"". 이재* 어록: ""적폐처단을 하는 것이라면 얼마든지 정치보복을 해도 된다. 그리고 정치보복은 은밀히 뒤로 몰래한다"". 두 사람의 인성 차이이지 싶습니다."
https://n.news.naver.com/mnews/article/119/0002580532?sid=100,20,"대장동 욕쟁이 양아치 바람둥이 전과자 나부랭이가 국민들을 도대체 뭘로 보고 겁대가리가 없네 
  다음 대통령은 반드시 야당에서 나와야한다 제발 정신좀 차리자 제발"
https://n.news.naver.com/mnews/article/119/0002580532?sid=100,20,
https://n.news.naver.com/mnews/article/119/0002580532?sid=100,20,몰래하는 게 더 무섭다. 몰래 사정하고 몰래 보복하고 몰래 욕하고 몰래 음주운전하고 몰래 복수하고 몰래 전쟁하고 몰래 음식주문하고 몰래 처방받고 몰래 할 또 다른 뭔가를 하는 것이 대통령직이라고 하시면 이런 말을 그것도 백주대낮에 대중 앞에서 했다고 하니 이것은 거대여당측에서 봐도 비정상으로 볼 것 같습니다.  아니면 또 변명하시려나.
https://n.news.naver.com/mnews/article/119/0002580532?sid=100,20,
https://n.news.naver.com/mnews/article/119/0002580532?sid=100,20,이재명이 대통령되면 정치보복은 몰래 한다? 한다에 찬성 VS 안한다반대
https://n.news.naver.com/mnews/article/020/0003413790?sid=110,20,무소불위 더불어 공산당 국개 180석을 움켜 지고도 5년이 지나가도 여전히 지들 입맛에 맞는 정치개혁을 못한 거 보면 문재인과 그 국개들은 너무 무능한 거 확인했다.. ㅋㅋㅋㅋ 자기들 이하면 개혁이고 반면 자기들이 당하면 보복 드립이나 치는 역적 문재앙 정권의 수준에 부끄럽고 수치스럽다.
https://n.news.naver.com/mnews/article/020/0003413790?sid=110,20,
https://n.news.naver.com/mnews/article/020/0003413790?sid=110,20,"선거 8일 앞두고 갑자기 급했네 ㅋㅋ
원전부터~~개혁이라 ㅋ 딴찢하다가
급조된 개혁쇼 라^^~😁😆🤣"
https://n.news.naver.com/mnews/article/020/0003413790?sid=110,20,
https://n.news.naver.com/mnews/article/020/0003413790?sid=110,20,
https://n.news.naver.com/mnews/article/020/0003413790?sid=110,20,민주당   거대여당이라는것들이   여태껏  보여준  그횡포짓을  보면서  이미  심한염증에  질려있음.  법사위도  지들맘대로   지들한텐  불리한건  날치기식  통과   그래서  유리함으로....공수처설치또한  그러했듯.... 참으로  나쁜것들   그러나  며칠후면  심판할날이   다가옴.   그날은  그야말로  붕괴대형참사.
https://n.news.naver.com/mnews/article/020/0003413790?sid=110,20,현시점에서는 정권교체가 최고의 정치개혁이다
https://n.news.naver.com/mnews/article/020/0003413790?sid=110,20,
https://n.news.naver.com/mnews/article/020/0003413790?sid=110,20,
https://n.news.naver.com/mnews/article/020/0003413790?sid=110,20,웃긴것들!!~~  엊그제   렉써쓰최가네랑  합당해놓고 정치개혁안?  또  한다니까  진짜하는줄아나?하려고?  그리고  심상정이 정의당  팽~~시켜놓고?  벼룩두  낯짝이 있대더라!!~  헷까닥 뒤집을말들  그만떠들어라.  선거때 속보인다
https://n.news.naver.com/mnews/article/020/0003413790?sid=110,20,문죄앙과  더블어강간당 이넘들 영구집권하려는  수작이구먼~~~정권교체가 답이다 ~~~
https://n.news.naver.com/mnews/article/020/0003413790?sid=110,20,"시기꾼 부패세력을 몰아내는 것이 정치개혁이다.. 무찌르자 이죄명, 때려잡자 따블당."
https://n.news.naver.com/mnews/article/020/0003413790?sid=110,20,더불당의 정치개혁안 당론 채택 ? ~ 간철수 그렇게 뒤통수 쳐맞고도 정신 못차리나 .. ~ 더불당것들 말바꿀때 이유도 설명도 필요없는것들이여 !!
https://n.news.naver.com/mnews/article/020/0003413790?sid=110,20,"말러들 필요없다., 그래봤자 늑대소년들의 쇼질이다.
 586용퇴는? 니들이 기득권을 포기할거라 생각하는 사림은 아무도 없다.  좀비들 빼고.."
https://n.news.naver.com/mnews/article/020/0003413790?sid=110,20,
https://n.news.naver.com/mnews/article/020/0003413790?sid=110,20,지키지도 않을 정책인데 머. 한두번속니 민주당한테.
https://n.news.naver.com/mnews/article/020/0003413790?sid=110,20,또 나중에  총선때 되면 없던 이야기가 될텐데. 안철수하고 심상정  또 한번 속아넘어 가나요?  두번째 또 속으면 그 멍청한 윤석열 보다 더 멍청한 인간이 되나요?
https://n.news.naver.com/mnews/article/020/0003413790?sid=110,20,일사천리  로동당  거수기보는듯~^^
https://n.news.naver.com/mnews/article/020/0003413790?sid=110,20,
https://n.news.naver.com/mnews/article/020/0003413790?sid=110,20,"아무리 좋게 생각해봐도 이죄명이는 교도소 가야된다,거짓말을 저렇게 뻔뻔하게하고 죄책감없는 사이코패스 같다.사회에서 격리하는게 지극히 당연하다"
https://n.news.naver.com/mnews/article/654/0000003793?sid=102,3,대깨명들 부들부들
https://n.news.naver.com/mnews/article/654/0000003793?sid=102,3,
https://n.news.naver.com/mnews/article/654/0000003793?sid=102,3,무당천국 가족사기단 대장동배후법조카르텔. 수꼴 이제는 폭력범.
https://n.news.naver.com/mnews/article/022/0003671765?sid=110,0,
https://n.news.naver.com/mnews/article/025/0003176938?sid=100,20,국민들아. 지금 대선이 이놈이나 저놈 똑같아 보이지? 그래서 정권교체 를 해도 별로 달라질거 같지 않지? 그렇지 않기를 바라지만 설사 그렇다고 해도 이번 정권이 못했다고 생각되면 즉 민주당에 분노와 실망했다면 국힘을 찍는게 맞는것이다. 최소한 정치인들에게 정치를 제대로 못하면 모든 권력을 뺏아긴다는 국민의 심판에 의한 긴장 마저도 없다면 “어 우리가 개판쳐도 정권이 우리한테 넘어오네“ 이러면 무슨 긴장감으로 국민 눈치를 보겠냐. 국민을 개돼지로보지 않겠냐
https://n.news.naver.com/mnews/article/025/0003176938?sid=100,20,"진짜 팩트다 
정권교체만 답지다 
절대 민주당만 안되면 된다는게
지금 국민들 여론임"
https://n.news.naver.com/mnews/article/025/0003176938?sid=100,20,윤후보님ㅡ말씀에ㅡ1000% ㅡ동의합니다ㄷ
https://n.news.naver.com/mnews/article/025/0003176938?sid=100,20,무조건 기호 2번 찍을란다 우리가 살길이다  윤석열!! 환호성에 대한민국이 우뚝선다 홧팅!!!!이기자!!!!!!!
https://n.news.naver.com/mnews/article/025/0003176938?sid=100,20,
https://n.news.naver.com/mnews/article/025/0003176938?sid=100,20,민주당 간신 매국노들을 갈아버리는게 정치개혁이지!
https://n.news.naver.com/mnews/article/025/0003176938?sid=100,20,
https://n.news.naver.com/mnews/article/025/0003176938?sid=100,20,"공수처가 사법부  내부의 견제장치가 될 수 있다  윤후보는 공수처를 폐지하고 사법개혁을 제로로 돌림으로써 사법부의 내부 견제장치가  부재한 상태에서 사법부의 독립은 결국 무소불위의 사법권력  그럼으로써 부패한 사법권력을 초래할 것이다
권력은 견제받지 않으면 썩어버리기 쉽다
대장동개발에서 보여준 힘있는 법조인들의 부정부패를 누가 수사하며 누가 재판할 것인가?  부패한 자들이 서로 수사하고 재판할 것인가?  그렇다면 어떻게 정의로운 수사와 재판이 있을 수 있겠는가?"
https://n.news.naver.com/mnews/article/025/0003176938?sid=100,20,"민주당 년놈들은 도둑년놈,성폭력범,사기,문서위조 악질 범죄자가 대다수이니  불에태워 없애야 한다!"
https://n.news.naver.com/mnews/article/025/0003176938?sid=100,20,"윤후보님  순수한 옆집 아저시같으세요 
꼭 승리하셔.   정권 바꿔주셔야해요 
모두. 고루 잘사는 나라 만들어  주세요ㅡ"
https://n.news.naver.com/mnews/article/025/0003176938?sid=100,20,교체해서 뭘할지를 알려주시라. 국힘은.. 그런 면에서 너무 태만해 보인다.
https://n.news.naver.com/mnews/article/025/0003176938?sid=100,20,
https://n.news.naver.com/mnews/article/025/0003176938?sid=100,20,
https://n.news.naver.com/mnews/article/025/0003176938?sid=100,20,더불어공산당에게 또 속냐? 부정선거로 날치기한 180석으로 뭘했냐? 주권자 국민들이 반대하는 일만 했다. 정치 개혁을 빙자하여 종북분자들 일자리 마련하냐? 정권 교체가 정답이다.
https://n.news.naver.com/mnews/article/025/0003176938?sid=100,20,캬~~ 사이다 발언입니다!!! 윤석렬 홧팅
https://n.news.naver.com/mnews/article/025/0003176938?sid=100,20,민주당 이름도 아깝고  더불어강간당 혹은 더불면죽인당을 몰아내고 재앙정부 5년동안 무너진 대한민국은 새롭게 일으켜 세워야 한다.
https://n.news.naver.com/mnews/article/025/0003176938?sid=100,20,"민주당에게 5년간 지옥같았고 더럽게 빡쳤다...
그리고 전과4범에 법카를 사비처럼 쓰는 더러운 놈에게 나라맡길수 없다 그래서 윤석열이 갈꺼다!!!!"
https://n.news.naver.com/mnews/article/025/0003176938?sid=100,20,너란모지리를 지지하는 모지리들 정말 개차반들이다!
https://n.news.naver.com/mnews/article/025/0003176938?sid=100,20,
